,TWEETS,Cleaned_TWEETS,Lemmatized_TWEETS,Predictions of TASK
0,\xf0\x9f\x98\x91\xf0\x9f\x98\x91\xf0\x9f\x98\xab y\xe2\x80\x99all suck at social distancing.,"[('suck', 'VBN'), ('social', 'JJ'), ('distanc', 'NN')]",suck social distanc,2
1,Jasmine Strange shares a message of hope during this life of #covid19. #MusicVideo production by #MooDology.  RT if you like it. DM me why if you don\xe2\x80\x99t #coronavirus #stayathome #oaklandfilmmaker https://t.co/wkBF0k9hCk,"[('jasmin', 'NN'), ('strang', 'NN'), ('share', 'NN'), ('messag', 'FW'), ('hope', 'NN'), ('life', 'NN'), ('covid', 'NN'), ('musicvideo', 'NN'), ('product', 'NN'), ('moodolog', 'NN'), ('like', 'IN'), ('coronaviru', 'NN'), ('stayathom', 'NN'), ('oaklandfilmmak', 'NN'), ('http', 'NN'), ('wkbf', 'NN')]",jasmin strang share messag hope life covid musicvideo product moodolog like coronaviru stayathom oaklandfilmmak http wkbf,1
2,I gotta fight these allergies in public to make sure people don\xe2\x80\x99t think I got corona \xf0\x9f\x92\x80\xf0\x9f\x99\x88,"[('fight', 'NN'), ('allergi', 'VBZ'), ('public', 'JJ'), ('make', 'VBP'), ('sure', 'JJ'), ('peopl', 'NN'), ('think', 'VBP'), ('corona', 'NN')]",fight allergi public make sure peopl think corona,0
3,https://t.co/57NBQ2XQsG  On Easter please remember the poor and desolate. #COVID19 #infrastructure #LALove #NatGeo #compassion,"[('http', 'NN'), ('xqsg', 'NNP'), ('easter', 'NN'), ('pleas', 'NNS'), ('rememb', 'VBP'), ('poor', 'JJ'), ('desol', 'NN'), ('covid', 'NN'), ('infrastructur', 'NN'), ('lalov', 'NN'), ('natgeo', 'JJ'), ('compass', 'NN')]",http xqsg easter plea rememb poor desol covid infrastructur lalov natgeo compass,0
4,@lenibriscoe I have a cute one made from recycled sari silk my friend got me in Nepal,"[('lenibrisco', 'NN'), ('cute', 'NN'), ('made', 'VBD'), ('recycl', 'NN'), ('sari', 'JJ'), ('silk', 'NN'), ('friend', 'NN'), ('nepal', 'NN')]",lenibrisco cute make recycl sari silk friend nepal,0
5,Told my Mom we should start to work from home due to Corona. No one else works in our office but is but ya know...working from home sounds nice.,"[('told', 'JJ'), ('start', 'NN'), ('work', 'NN'), ('home', 'NN'), ('corona', 'NN'), ('els', 'NNS'), ('work', 'VBP'), ('offic', 'RB'), ('know', 'JJ'), ('work', 'NN'), ('home', 'NN'), ('sound', 'NN'), ('nice', 'JJ')]",told start work home corona el work offic know work home sound nice,1
6,\xf0\x9f\x92\x94\xf0\x9f\x92\x94\xf0\x9f\x92\x94\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd,[],,2
7,We are all in deep doo doo \xf0\x9f\x8d\xb8,"[('deep', 'NN')]",deep,2
8,QUE ALGUIEN EXPLIQUE \xf0\x9f\x93\xa2\xf0\x9f\x93\x8c\xe2\x9d\x93\xe2\x9d\x97,"[('alguien', 'NN'), ('expliqu', 'NN')]",alguien expliqu,2
9,This will I fear continue as it seemed like it was a bad flu season last winter but maybe it was circulating quite a bit earlier than originally thought which has far reaching implications,"[('thi', 'NNS'), ('fear', 'VBP'), ('continu', 'JJ'), ('seem', 'VBP'), ('like', 'IN'), ('season', 'NN'), ('last', 'JJ'), ('winter', 'NN'), ('mayb', 'VBD'), ('circul', 'NN'), ('quit', 'NN'), ('earlier', 'RBR'), ('origin', 'JJ'), ('thought', 'VBN'), ('reach', 'NN'), ('implic', 'NN')]",thi fear continu seem like season last winter mayb circul quit earlier origin think reach implic,0
10,@msmayarosas https://t.co/1MJpggmpJH,"[('msmayarosa', 'NN'), ('http', 'NN'), ('mjpggmpjh', 'NN')]",msmayarosa http mjpggmpjh,2
11,There was a concerted effort by the media in today\xe2\x80\x99s coronavirus briefing to harrass and attack @POTUS. @Acosta was there and is like a cancer in the room.,"[('there', 'RB'), ('concert', 'JJ'), ('effort', 'NN'), ('media', 'NNS'), ('today', 'NN'), ('coronaviru', 'VBP'), ('brief', 'JJ'), ('harrass', 'NN'), ('attack', 'NN'), ('potu', 'NN'), ('acosta', 'NN'), ('like', 'IN'), ('cancer', 'NN'), ('room', 'NN')]",concert effort medium today coronaviru brief harrass attack potu acosta like cancer room,1
12,\xe2\x9c\x88\xef\xb8\x8fPLEA FROM PASSENGERS: PLEASE do the right thing \xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb @SouthwestAir and EXTEND TRAVEL FUND expiration dates for the MILLIONS OF DOLLARS in travelers\xe2\x80\x99 unused funds that are expiring in the next few weeks and summer months \xf0\x9f\x92\xb2\xf0\x9f\x92\xb2\xf0\x9f\x92\xb2 #coronavirustravel #SouthwestAirlines,"[('fplea', 'NN'), ('from', 'IN'), ('passeng', 'NN'), ('pleas', 'NNS'), ('right', 'JJ'), ('thing', 'NN'), ('southwestair', 'NN'), ('extend', 'VBP'), ('travel', 'NN'), ('fund', 'NN'), ('expir', 'NN'), ('date', 'NN'), ('million', 'CD'), ('dollar', 'NN'), ('travel', 'NN'), ('unus', 'JJ'), ('fund', 'NN'), ('expir', 'VBD'), ('next', 'JJ'), ('week', 'NN'), ('summer', 'NN'), ('month', 'NN'), ('coronavirustravel', 'NN'), ('southwestairlin', 'NN')]",fplea passeng plea right thing southwestair extend travel fund expir date million dollar travel unus fund expir next week summer month coronavirustravel southwestairlin,1
13,@NBCPolitics @CBSThisMorning Damn! Republicans &amp; @Scotus really Are responsible...,"[('nbcpolit', 'JJ'), ('cbsthismorn', 'VBN'), ('damn', 'JJ'), ('republican', 'JJ'), ('scotu', 'NN'), ('realli', 'NN'), ('respons', 'NNS')]",nbcpolit cbsthismorn damn republican scotu realli respons,0
14,This thread,"[('thi', 'NNS'), ('thread', 'VBP')]",thi thread,2
15,https://t.co/Y8LmCODpgD,"[('http', 'NN'), ('lmcodpgd', 'NN')]",http lmcodpgd,2
16,me working on a Saturday \xf0\x9f\xa5\xba\xf0\x9f\xa4\xaf,"[('work', 'NN'), ('saturday', 'NN')]",work saturday,2
